Property Name,Default,Meaning
spark.executor.heartbeatInterval,10s,Interval between each executor's heartbeats to the driver. Heartbeats let the driver know that the executor is still alive and update it with metrics for in-progress tasks. spark.executor.heartbeatInterval should be significantly less than spark.network.timeout
spark.files.fetchTimeout,60s,Communication timeout to use when fetching files added through SparkContext.addFile() from the driver.
spark.files.useFetchCache,true,"If set to true (default), file fetching will use a local cache that is shared by executors that belong to the same application, which can improve task launching performance when running many executors on the same host. If set to false, these caching optimizations will be disabled and all executors will fetch their own copies of files. This optimization may be disabled in order to use Spark local directories that reside on NFS filesystems (see SPARK-6313 for more details)."
spark.files.overwrite,false,Whether to overwrite files added through SparkContext.addFile() when the target file exists and its contents do not match those of the source.
spark.files.maxPartitionBytes,134217728 (128 MB),The maximum number of bytes to pack into a single partition when reading files.
spark.files.openCostInBytes,4194304 (4 MB),"The estimated cost to open a file, measured by the number of bytes could be scanned at the same time. This is used when putting multiple files into a partition. It is better to overestimate, then the partitions with small files will be faster than partitions with bigger files."
spark.hadoop.cloneConf,false,"If set to true, clones a new Hadoop Configuration object for each task. This option should be enabled to work around Configuration thread-safety issues (see SPARK-2546 for more details). This is disabled by default in order to avoid unexpected performance regressions for jobs that are not affected by these issues."
spark.hadoop.validateOutputSpecs,true,"If set to true, validates the output specification (e.g. checking if the output directory already exists) used in saveAsHadoopFile and other variants. This can be disabled to silence exceptions due to pre-existing output directories. We recommend that users do not disable this except if trying to achieve compatibility with previous versions of Spark. Simply use Hadoop's FileSystem API to delete output directories by hand. This setting is ignored for jobs generated through Spark Streaming's StreamingContext, since data may need to be rewritten to pre-existing output directories during checkpoint recovery."
spark.storage.memoryMapThreshold,2m,"Size in bytes of a block above which Spark memory maps when reading a block from disk. This prevents Spark from memory mapping very small blocks. In general, memory mapping has high overhead for blocks close to or below the page size of the operating system."
spark.hadoop.mapreduce.fileoutputcommitter.algorithm.version,1,"The file output committer algorithm version, valid algorithm version number: 1 or 2. Version 2 may have better performance, but version 1 may handle failures better in certain situations, as per MAPREDUCE-4815."
spark.rpc.message.maxSize,128,"Maximum message size (in MB) to allow in ""control plane"" communication; generally only applies to map output size information sent between executors and the driver. Increase this if you are running jobs with many thousands of map and reduce tasks and see messages about the RPC message size."
spark.blockManager.port,(random),Port for all block managers to listen on. These exist on both the driver and the executors.
spark.driver.blockManager.port,(value of spark.blockManager.port),"Driver-specific port for the block manager to listen on, for cases where it cannot use the same configuration as executors."
spark.driver.bindAddress,(value of spark.driver.host),"Hostname or IP address where to bind listening sockets. This config overrides the SPARK_LOCAL_IP environment variable (see below). 
It also allows a different address from the local one to be advertised to executors or external systems. This is useful, for example, when running containers with bridged networking. For this to properly work, the different ports used by the driver (RPC, block manager and UI) need to be forwarded from the container's host."
spark.driver.host,(local hostname),Hostname or IP address for the driver. This is used for communicating with the executors and the standalone Master.
spark.driver.port,(random),Port for the driver to listen on. This is used for communicating with the executors and the standalone Master.
spark.network.timeout,120s,"Default timeout for all network interactions. This config will be used in place of spark.core.connection.ack.wait.timeout, spark.storage.blockManagerSlaveTimeoutMs, spark.shuffle.io.connectionTimeout, spark.rpc.askTimeout or spark.rpc.lookupTimeout if they are not configured."
spark.port.maxRetries,16,"Maximum number of retries when binding to a port before giving up. When a port is given a specific value (non 0), each subsequent retry will increment the port used in the previous attempt by 1 before retrying. This essentially allows it to try a range of ports from the start port specified to port + maxRetries."
spark.rpc.numRetries,3,Number of times to retry before an RPC task gives up. An RPC task will run at most times of this number.
spark.rpc.retry.wait,3s,Duration for an RPC ask operation to wait before retrying.
spark.rpc.askTimeout,spark.network.timeout,Duration for an RPC ask operation to wait before timing out.
spark.rpc.lookupTimeout,120s,Duration for an RPC remote endpoint lookup operation to wait before timing out.
spark.core.connection.ack.wait.timeout,spark.network.timeout,"How long for the connection to wait for ack to occur before timing out and giving up. To avoid unwilling timeout caused by long pause like GC, you can set larger value."
spark.cores.max,(not set),"When running on a standalone deploy cluster or a Mesos cluster in ""coarse-grained"" sharing mode, the maximum amount of CPU cores to request for the application from across the cluster (not from each machine). If not set, the default will be spark.deploy.defaultCores on Spark's standalone cluster manager, or infinite (all available cores) on Mesos."
spark.locality.wait,3s,"How long to wait to launch a data-local task before giving up and launching it on a less-local node. The same wait will be used to step through multiple locality levels (process-local, node-local, rack-local and then any). It is also possible to customize the waiting time for each level by setting spark.locality.wait.node, etc. You should increase this setting if your tasks are long and see poor locality, but the default usually works well."
spark.locality.wait.node,spark.locality.wait,"Customize the locality wait for node locality. For example, you can set this to 0 to skip node locality and search immediately for rack locality (if your cluster has rack information)."
spark.locality.wait.process,spark.locality.wait,Customize the locality wait for process locality. This affects tasks that attempt to access cached data in a particular executor process.
spark.locality.wait.rack,spark.locality.wait,Customize the locality wait for rack locality.
spark.scheduler.maxRegisteredResourcesWaitingTime,30s,Maximum amount of time to wait for resources to register before scheduling begins.
spark.scheduler.minRegisteredResourcesRatio,0.8 for KUBERNETES mode; 0.8 for YARN mode; 0.0 for standalone mode and Mesos coarse-grained mode,"The minimum ratio of registered resources (registered resources / total expected resources) (resources are executors in yarn mode and Kubernetes mode, CPU cores in standalone mode and Mesos coarse-grained mode ['spark.cores.max' value is total expected resources for Mesos coarse-grained mode] ) to wait for before scheduling begins. Specified as a double between 0.0 and 1.0. Regardless of whether the minimum ratio of resources has been reached, the maximum amount of time it will wait before scheduling begins is controlled by config spark.scheduler.maxRegisteredResourcesWaitingTime."
spark.scheduler.mode,FIFO,The scheduling mode between jobs submitted to the same SparkContext. Can be set to FAIR to use fair sharing instead of queueing jobs one after another. Useful for multi-user services.
spark.scheduler.revive.interval,1s,The interval length for the scheduler to revive the worker resource offers to run tasks.
spark.scheduler.listenerbus.eventqueue.capacity,10000,"Capacity for event queue in Spark listener bus, must be greater than 0. Consider increasing value (e.g. 20000) if listener events are dropped. Increasing this value may result in the driver using more memory."
spark.blacklist.enabled,false,"If set to ""true"", prevent Spark from scheduling tasks on executors that have been blacklisted due to too many task failures. The blacklisting algorithm can be further controlled by the other ""spark.blacklist"" configuration options."
spark.blacklist.timeout,1h,"(Experimental) How long a node or executor is blacklisted for the entire application, before it is unconditionally removed from the blacklist to attempt running new tasks."
spark.blacklist.task.maxTaskAttemptsPerExecutor,1,"(Experimental) For a given task, how many times it can be retried on one executor before the executor is blacklisted for that task."
spark.blacklist.task.maxTaskAttemptsPerNode,2,"(Experimental) For a given task, how many times it can be retried on one node, before the entire node is blacklisted for that task."
spark.blacklist.stage.maxFailedTasksPerExecutor,2,"(Experimental) How many different tasks must fail on one executor, within one stage, before the executor is blacklisted for that stage."
spark.blacklist.stage.maxFailedExecutorsPerNode,2,"(Experimental) How many different executors are marked as blacklisted for a given stage, before the entire node is marked as failed for the stage."
spark.blacklist.application.maxFailedTasksPerExecutor,2,"(Experimental) How many different tasks must fail on one executor, in successful task sets, before the executor is blacklisted for the entire application. Blacklisted executors will be automatically added back to the pool of available resources after the timeout specified by spark.blacklist.timeout. Note that with dynamic allocation, though, the executors may get marked as idle and be reclaimed by the cluster manager."
spark.blacklist.application.maxFailedExecutorsPerNode,2,"(Experimental) How many different executors must be blacklisted for the entire application, before the node is blacklisted for the entire application. Blacklisted nodes will be automatically added back to the pool of available resources after the timeout specified by spark.blacklist.timeout. Note that with dynamic allocation, though, the executors on the node may get marked as idle and be reclaimed by the cluster manager."
spark.blacklist.killBlacklistedExecutors,false,"(Experimental) If set to ""true"", allow Spark to automatically kill the executors when they are blacklisted on fetch failure or blacklisted for the entire application, as controlled by spark.blacklist.application.*. Note that, when an entire node is added to the blacklist, all of the executors on that node will be killed."
spark.blacklist.application.fetchFailure.enabled,false,"(Experimental) If set to ""true"", Spark will blacklist the executor immediately when a fetch failure happens. If external shuffle service is enabled, then the whole node will be blacklisted."
spark.speculation,false,"If set to ""true"", performs speculative execution of tasks. This means if one or more tasks are running slowly in a stage, they will be re-launched."
spark.speculation.interval,100ms,How often Spark will check for tasks to speculate.
spark.speculation.multiplier,1.5,How many times slower a task is than the median to be considered for speculation.
spark.speculation.quantile,0.75,Fraction of tasks which must be complete before speculation is enabled for a particular stage.
spark.task.cpus,1,Number of cores to allocate for each task.
spark.task.maxFailures,4,Number of failures of any particular task before giving up on the job. The total number of failures spread across different tasks will not cause the job to fail; a particular task has to fail this number of attempts. Should be greater than or equal to 1. Number of allowed retries = this value - 1.
spark.task.reaper.enabled,false,"Enables monitoring of killed / interrupted tasks. When set to true, any task which is killed will be monitored by the executor until that task actually finishes executing. See the other spark.task.reaper.* configurations for details on how to control the exact behavior of this monitoring. When set to false (the default), task killing will use an older code path which lacks such monitoring."
spark.task.reaper.pollingInterval,10s,"When spark.task.reaper.enabled = true, this setting controls the frequency at which executors will poll the status of killed tasks. If a killed task is still running when polled then a warning will be logged and, by default, a thread-dump of the task will be logged (this thread dump can be disabled via the spark.task.reaper.threadDump setting, which is documented below)."
spark.task.reaper.threadDump,true,"When spark.task.reaper.enabled = true, this setting controls whether task thread dumps are logged during periodic polling of killed tasks. Set this to false to disable collection of thread dumps."
spark.task.reaper.killTimeout,-1,"When spark.task.reaper.enabled = true, this setting specifies a timeout after which the executor JVM will kill itself if a killed task has not stopped running. The default value, -1, disables this mechanism and prevents the executor from self-destructing. The purpose of this setting is to act as a safety-net to prevent runaway noncancellable tasks from rendering an executor unusable."
spark.stage.maxConsecutiveAttempts,4,Number of consecutive stage attempts allowed before a stage is aborted.
spark.dynamicAllocation.enabled,false,"Whether to use dynamic resource allocation, which scales the number of executors registered with this application up and down based on the workload. For more detail, see the description here. 

 This requires spark.shuffle.service.enabled to be set. The following configurations are also relevant: spark.dynamicAllocation.minExecutors, spark.dynamicAllocation.maxExecutors, and spark.dynamicAllocation.initialExecutors spark.dynamicAllocation.executorAllocationRatio"
spark.dynamicAllocation.executorIdleTimeout,60s,"If dynamic allocation is enabled and an executor has been idle for more than this duration, the executor will be removed. For more detail, see this description."
spark.dynamicAllocation.cachedExecutorIdleTimeout,infinity,"If dynamic allocation is enabled and an executor which has cached data blocks has been idle for more than this duration, the executor will be removed. For more details, see this description."
spark.dynamicAllocation.initialExecutors,spark.dynamicAllocation.minExecutors,"Initial number of executors to run if dynamic allocation is enabled. 

 If `--num-executors` (or `spark.executor.instances`) is set and larger than this value, it will be used as the initial number of executors."
spark.dynamicAllocation.maxExecutors,infinity,Upper bound for the number of executors if dynamic allocation is enabled.
spark.dynamicAllocation.minExecutors,0,Lower bound for the number of executors if dynamic allocation is enabled.
spark.dynamicAllocation.executorAllocationRatio,1,"By default, the dynamic allocation will request enough executors to maximize the parallelism according to the number of tasks to process. While this minimizes the latency of the job, with small tasks this setting can waste a lot of resources due to executor allocation overhead, as some executor might not even do any work. This setting allows to set a ratio that will be used to reduce the number of executors w.r.t. full parallelism. Defaults to 1.0 to give maximum parallelism. 0.5 will divide the target number of executors by 2 The target number of executors computed by the dynamicAllocation can still be overridden by the spark.dynamicAllocation.minExecutors and spark.dynamicAllocation.maxExecutors settings"
spark.dynamicAllocation.schedulerBacklogTimeout,1s,"If dynamic allocation is enabled and there have been pending tasks backlogged for more than this duration, new executors will be requested. For more detail, see this description."
spark.dynamicAllocation.sustainedSchedulerBacklogTimeout,schedulerBacklogTimeout,"Same as spark.dynamicAllocation.schedulerBacklogTimeout, but used only for subsequent executor requests. For more detail, see this description."
spark.streaming.backpressure.enabled,false,"Enables or disables Spark Streaming's internal backpressure mechanism (since 1.5). This enables the Spark Streaming to control the receiving rate based on the current batch scheduling delays and processing times so that the system receives only as fast as the system can process. Internally, this dynamically sets the maximum receiving rate of receivers. This rate is upper bounded by the values spark.streaming.receiver.maxRate and spark.streaming.kafka.maxRatePerPartition if they are set (see below)."
spark.streaming.backpressure.initialRate,not set,This is the initial maximum receiving rate at which each receiver will receive data for the first batch when the backpressure mechanism is enabled.
spark.streaming.blockInterval,200ms,Interval at which data received by Spark Streaming receivers is chunked into blocks of data before storing them in Spark. Minimum recommended - 50 ms. See the performance tuning section in the Spark Streaming programing guide for more details.
spark.streaming.receiver.maxRate,not set,"Maximum rate (number of records per second) at which each receiver will receive data. Effectively, each stream will consume at most this number of records per second. Setting this configuration to 0 or a negative number will put no limit on the rate. See the deployment guide in the Spark Streaming programing guide for mode details."
spark.streaming.receiver.writeAheadLog.enable,false,Enable write-ahead logs for receivers. All the input data received through receivers will be saved to write-ahead logs that will allow it to be recovered after driver failures. See the deployment guide in the Spark Streaming programing guide for more details.
spark.streaming.unpersist,true,Force RDDs generated and persisted by Spark Streaming to be automatically unpersisted from Spark's memory. The raw input data received by Spark Streaming is also automatically cleared. Setting this to false will allow the raw data and persisted RDDs to be accessible outside the streaming application as they will not be cleared automatically. But it comes at the cost of higher memory usage in Spark.
spark.streaming.stopGracefullyOnShutdown,false,"If true, Spark shuts down the StreamingContext gracefully on JVM shutdown rather than immediately."
spark.streaming.kafka.maxRatePerPartition,not set,Maximum rate (number of records per second) at which data will be read from each Kafka partition when using the new Kafka direct stream API. See the Kafka Integration guide for more details.
spark.streaming.kafka.minRatePerPartition,1,Minimum rate (number of records per second) at which data will be read from each Kafka partition when using the new Kafka direct stream API.
spark.streaming.kafka.maxRetries,1,Maximum number of consecutive retries the driver will make in order to find the latest offsets on the leader of each partition (a default value of 1 means that the driver will make a maximum of 2 attempts). Only applies to the new Kafka direct stream API.
spark.streaming.ui.retainedBatches,1000,How many batches the Spark Streaming UI and status APIs remember before garbage collecting.
spark.streaming.driver.writeAheadLog.closeFileAfterWrite,false,Whether to close the file after writing a write-ahead log record on the driver. Set this to 'true' when you want to use S3 (or any file system that does not support flushing) for the metadata WAL on the driver.
spark.streaming.receiver.writeAheadLog.closeFileAfterWrite,false,Whether to close the file after writing a write-ahead log record on the receivers. Set this to 'true' when you want to use S3 (or any file system that does not support flushing) for the data WAL on the receivers.
spark.r.numRBackendThreads,2,Number of threads used by RBackend to handle RPC calls from SparkR package.
spark.r.command,Rscript,Executable for executing R scripts in cluster modes for both driver and workers.
spark.r.driver.command,spark.r.command,Executable for executing R scripts in client modes for driver. Ignored in cluster modes.
spark.r.shell.command,R,"Executable for executing sparkR shell in client modes for driver. Ignored in cluster modes. It is the same as environment variable SPARKR_DRIVER_R, but take precedence over it. spark.r.shell.command is used for sparkR shell while spark.r.driver.command is used for running R script."
spark.r.backendConnectionTimeout,6000,Connection timeout set by R process on its connection to RBackend in seconds.
spark.r.heartBeatInterval,100,Interval for heartbeats sent from SparkR backend to R process to prevent connection timeout.
spark.graphx.pregel.checkpointInterval,-1,Checkpoint interval for graph and message in Pregel. It used to avoid stackOverflowError due to long lineage chains after lots of iterations. The checkpoint is disabled by default.
spark.deploy.recoveryMode,NONE,The recovery mode setting to recover submitted Spark jobs with cluster mode when it failed and relaunches. This is only applicable for cluster mode when running with Standalone or Mesos.
spark.deploy.zookeeper.url,None,"When `spark.deploy.recoveryMode` is set to ZOOKEEPER, this configuration is used to set the zookeeper URL to connect to."
spark.deploy.zookeeper.dir,None,"When `spark.deploy.recoveryMode` is set to ZOOKEEPER, this configuration is used to set the zookeeper directory to store recovery state."
spark.yarn.am.memory,512m,"Amount of memory to use for the YARN Application Master in client mode, in the same format as JVM memory strings (e.g. 512m, 2g). In cluster mode, use spark.driver.memory instead. Use lower-case suffixes, e.g. k, m, g, t, and p, for kibi-, mebi-, gibi-, tebi-, and pebibytes, respectively."
spark.yarn.am.cores,1,"Number of cores to use for the YARN Application Master in client mode. In cluster mode, use spark.driver.cores instead."
spark.yarn.am.waitTime,100s,Only used in cluster mode. Time for the YARN Application Master to wait for the SparkContext to be initialized.
spark.yarn.submit.file.replication,The default HDFS replication (usually 3),"HDFS replication level for the files uploaded into HDFS for the application. These include things like the Spark jar, the app jar, and any distributed cache files/archives."
spark.yarn.stagingDir,Current user's home directory in the filesystem,Staging directory used while submitting applications.
spark.yarn.preserve.staging.files,false,"Set to true to preserve the staged files (Spark jar, app jar, distributed cache files) at the end of the job rather than delete them."
spark.yarn.scheduler.heartbeat.interval-ms,3000,"The interval in ms in which the Spark application master heartbeats into the YARN ResourceManager. The value is capped at half the value of YARN's configuration for the expiry interval, i.e. yarn.am.liveness-monitor.expiry-interval-ms."
spark.yarn.scheduler.initial-allocation.interval,200ms,"The initial interval in which the Spark application master eagerly heartbeats to the YARN ResourceManager when there are pending container allocation requests. It should be no larger than spark.yarn.scheduler.heartbeat.interval-ms. The allocation interval will doubled on successive eager heartbeats if pending containers still exist, until spark.yarn.scheduler.heartbeat.interval-ms is reached."
spark.yarn.max.executor.failures,"numExecutors * 2, with minimum of 3",The maximum number of executor failures before failing the application.
spark.yarn.historyServer.address,(none),"The address of the Spark history server, e.g. host.com:18080. The address should not contain a scheme (http://). Defaults to not being set since the history server is an optional service. This address is given to the YARN ResourceManager when the Spark application finishes to link the application from the ResourceManager UI to the Spark history server UI. For this property, YARN properties can be used as variables, and these are substituted by Spark at runtime. For example, if the Spark history server runs on the same node as the YARN ResourceManager, it can be set to ${hadoopconf-yarn.resourcemanager.hostname}:18080."
spark.yarn.dist.archives,(none),Comma separated list of archives to be extracted into the working directory of each executor.
spark.yarn.dist.files,(none),Comma-separated list of files to be placed in the working directory of each executor.
spark.yarn.dist.jars,(none),Comma-separated list of jars to be placed in the working directory of each executor.
spark.yarn.dist.forceDownloadSchemes,(none),"Comma-separated list of schemes for which resources will be downloaded to the local disk prior to being added to YARN's distributed cache. For use in cases where the YARN service does not support schemes that are supported by Spark, like http, https and ftp, or jars required to be in the local YARN client's classpath. Wildcard '*' is denoted to download resources for all the schemes."
spark.executor.instances,2,"The number of executors for static allocation. With spark.dynamicAllocation.enabled, the initial set of executors will be at least this large."
spark.yarn.am.memoryOverhead,"AM memory * 0.10, with minimum of 384","Same as spark.driver.memoryOverhead, but for the YARN Application Master in client mode."
spark.yarn.queue,default,The name of the YARN queue to which the application is submitted.
spark.yarn.jars,(none),"List of libraries containing Spark code to distribute to YARN containers. By default, Spark on YARN will use Spark jars installed locally, but the Spark jars can also be in a world-readable location on HDFS. This allows YARN to cache it on nodes so that it doesn't need to be distributed each time an application runs. To point to jars on HDFS, for example, set this configuration to hdfs:///some/path. Globs are allowed."
spark.yarn.archive,(none),"An archive containing needed Spark jars for distribution to the YARN cache. If set, this configuration replaces spark.yarn.jars and the archive is used in all the application's containers. The archive should contain jar files in its root directory. Like with the previous option, the archive can also be hosted on HDFS to speed up file distribution."
spark.yarn.appMasterEnv.[EnvironmentVariableName],(none),Add the environment variable specified by EnvironmentVariableName to the Application Master process launched on YARN. The user can specify multiple of these and to set multiple environment variables. In cluster mode this controls the environment of the Spark driver and in client mode it only controls the environment of the executor launcher.
spark.yarn.containerLauncherMaxThreads,25,The maximum number of threads to use in the YARN Application Master for launching executor containers.
spark.yarn.am.extraJavaOptions,(none),"A string of extra JVM options to pass to the YARN Application Master in client mode. In cluster mode, use spark.driver.extraJavaOptions instead. Note that it is illegal to set maximum heap size (-Xmx) settings with this option. Maximum heap size settings can be set with spark.yarn.am.memory"
spark.yarn.am.extraLibraryPath,(none),Set a special library path to use when launching the YARN Application Master in client mode.
spark.yarn.maxAppAttempts,yarn.resourcemanager.am.max-attempts in YARN,The maximum number of attempts that will be made to submit the application. It should be no larger than the global number of max attempts in the YARN configuration.
spark.yarn.am.attemptFailuresValidityInterval,(none),"Defines the validity interval for AM failure tracking. If the AM has been running for at least the defined interval, the AM failure count will be reset. This feature is not enabled if not configured."
spark.yarn.executor.failuresValidityInterval,(none),Defines the validity interval for executor failure tracking. Executor failures which are older than the validity interval will be ignored.
spark.yarn.submit.waitAppCompletion,true,"In YARN cluster mode, controls whether the client waits to exit until the application completes. If set to true, the client process will stay alive reporting the application's status. Otherwise, the client process will exit after submission."
spark.yarn.am.nodeLabelExpression,(none),"A YARN node label expression that restricts the set of nodes AM will be scheduled on. Only versions of YARN greater than or equal to 2.6 support node label expressions, so when running against earlier versions, this property will be ignored."
spark.yarn.executor.nodeLabelExpression,(none),"A YARN node label expression that restricts the set of nodes executors will be scheduled on. Only versions of YARN greater than or equal to 2.6 support node label expressions, so when running against earlier versions, this property will be ignored."
spark.yarn.tags,(none),"Comma-separated list of strings to pass through as YARN application tags appearing in YARN ApplicationReports, which can be used for filtering when querying YARN apps."
spark.yarn.config.gatewayPath,(none),"A path that is valid on the gateway host (the host where a Spark application is started) but may differ for paths for the same resource in other nodes in the cluster. Coupled with spark.yarn.config.replacementPath, this is used to support clusters with heterogeneous configurations, so that Spark can correctly launch remote processes. The replacement path normally will contain a reference to some environment variable exported by YARN (and, thus, visible to Spark containers). For example, if the gateway node has Hadoop libraries installed on /disk1/hadoop, and the location of the Hadoop install is exported by YARN as the HADOOP_HOME environment variable, setting this value to /disk1/hadoop and the replacement path to $HADOOP_HOME will make sure that paths used to launch remote processes properly reference the local YARN configuration."
spark.yarn.config.replacementPath,(none),See spark.yarn.config.gatewayPath.
spark.yarn.rolledLog.includePattern,(none),"Java Regex to filter the log files which match the defined include pattern and those log files will be aggregated in a rolling fashion. This will be used with YARN's rolling log aggregation, to enable this feature in YARN side yarn.nodemanager.log-aggregation.roll-monitoring-interval-seconds should be configured in yarn-site.xml. This feature can only be used with Hadoop 2.6.4+. The Spark log4j appender needs be changed to use FileAppender or another appender that can handle the files being removed while it is running. Based on the file name configured in the log4j configuration (like spark.log), the user should set the regex (spark*) to include all the log files that need to be aggregated."
spark.yarn.rolledLog.excludePattern,(none),"Java Regex to filter the log files which match the defined exclude pattern and those log files will not be aggregated in a rolling fashion. If the log file name matches both the include and the exclude pattern, this file will be excluded eventually."
spark.yarn.blacklist.executor.launch.blacklisting.enabled,false,Flag to enable blacklisting of nodes having YARN resource allocation problems. The error limit for blacklisting can be configured by spark.blacklist.application.maxFailedExecutorsPerNode.
spark.yarn.metrics.namespace,(none),The root namespace for AM metrics reporting. If it is not set then the YARN application ID is used.
spark.yarn.keytab,(none),"The full path to the file that contains the keytab for the principal specified above. This keytab will be copied to the node running the YARN Application Master via the YARN Distributed Cache, and will be used for renewing the login tickets and the delegation tokens periodically. Equivalent to the --keytab command line argument.
 (Works also with the ""local"" master.)"
spark.yarn.principal,(none),"Principal to be used to login to KDC, while running on secure clusters. Equivalent to the --principal command line argument. 
 (Works also with the ""local"" master.)"
spark.yarn.access.hadoopFileSystems,(none),"A comma-separated list of secure Hadoop filesystems your Spark application is going to access. For example, spark.yarn.access.hadoopFileSystems=hdfs://nn1.com:8032,hdfs://nn2.com:8032, webhdfs://nn3.com:50070. The Spark application must have access to the filesystems listed and Kerberos must be properly configured to be able to access them (either in the same realm or in a trusted realm). Spark acquires security tokens for each of the filesystems so that the Spark application can access those remote Hadoop filesystems."
spark.yarn.kerberos.relogin.period,1m,How often to check whether the kerberos TGT should be renewed. This should be set to a value that is shorter than the TGT renewal period (or the TGT lifetime if TGT renewal is not enabled). The default value should be enough for most deployments.
spark.yarn.shuffle.stopOnFailure,false,Whether to stop the NodeManager when there's a failure in the Spark Shuffle Service's initialization. This prevents application failures caused by running containers on NodeManagers where the Spark Shuffle Service is not running.
